competitor_id,name,country,country_code
sr:competitor:14898,"Heliovaara, Harri",Finland,FIN
sr:competitor:637970,"Patten, Henry",Great Britain,GBR
sr:competitor:16160,"Zeballos, Horacio",Argentina,ARG
sr:competitor:15568,"Granollers, Marcel",Spain,ESP
sr:competitor:53785,"Skupski, Neal",Great Britain,GBR
sr:competitor:95801,"Vavassori, Andrea",Italy,ITA
sr:competitor:51836,"Arevalo, Marcelo",El Salvador,SLV
sr:competitor:49363,"Pavic, Mate",Croatia,HRV
sr:competitor:15310,"Bolelli, Simone",Italy,ITA
sr:competitor:36593,"Krawietz, Kevin",Germany,DEU
sr:competitor:52293,"Putz, Tim",Germany,DEU
sr:competitor:52065,"Harrison, Christian",USA,USA
sr:competitor:59131,"Glasspool, Lloyd",Great Britain,GBR
sr:competitor:108099,"Cash, Julian",Great Britain,GBR
sr:competitor:121182,"Guinard, Manuel",France,FRA
sr:competitor:47295,"Andreozzi, Guido",Argentina,ARG
sr:competitor:16608,"Mektic, Nikola",Croatia,HRV
sr:competitor:74173,"Salisbury, Joe",Great Britain,GBR
sr:competitor:78793,"Miedler, Lucas",Austria,AUT
sr:competitor:106349,"Reboul, Fabien",France,FRA
sr:competitor:106559,"Doumbia, Sadio",France,FRA
sr:competitor:47966,"Olivetti, Albano",France,FRA
sr:competitor:80665,"Polmans, Marc",Australia,AUS
sr:competitor:231090,"Arribage, Theo",France,FRA
sr:competitor:14835,"Roger-Vasselin, Edouard",France,FRA
sr:competitor:52202,"Nys, Hugo",Monaco,MCO
sr:competitor:127646,"Cabral, Francisco",Portugal,PRT
sr:competitor:22967,"Bhambri, Yuki",India,IND
sr:competitor:44553,"Herbert, Pierre-Hugues",France,FRA
sr:competitor:838776,"Tracy, James",USA,USA
sr:competitor:112969,"Schnaitter, Jakob",Germany,DEU
sr:competitor:936355,"Wallner, Mark",Germany,DEU
sr:competitor:70348,"Goransson, Andre",Sweden,SWE
sr:competitor:59324,"Pavlasek, Adam",Czechia,CZE
sr:competitor:114831,"Erler, Alexander",Austria,AUT
sr:competitor:152900,"Rikl, Patrik",Czechia,CZE
sr:competitor:112805,"Zielinski, Jan",Poland,POL
sr:competitor:25189,"Krajicek, Austin",USA,USA
sr:competitor:76263,"Matos, Rafael",Brazil,BRA
sr:competitor:111195,"Luz, Orlando",Brazil,BRA
sr:competitor:206889,"Galloway, Robert",USA,USA
sr:competitor:231188,"Frantzen, Constantin",Germany,DEU
sr:competitor:393598,"Cash, Robert",USA,USA
sr:competitor:280601,"Oberleitner, Neil",Austria,AUT
sr:competitor:16042,"Haase, Robin",Netherlands,NLD
sr:competitor:204781,"Nouza, Petr",Czechia,CZE
sr:competitor:62410,"Johnson, Luke",Great Britain,GBR
sr:competitor:16124,"Melo, Marcelo",Brazil,BRA
sr:competitor:23899,"King, Evan",USA,USA
sr:competitor:234124,"Stevens, Bart",Netherlands,NLD
sr:competitor:234044,"Kirkov, Vasil",USA,USA
sr:competitor:90798,"Halys, Quentin",France,FRA
sr:competitor:52951,"Pel, David",Netherlands,NLD
sr:competitor:14553,"Ram, Rajeev",USA,USA
sr:competitor:66864,"Arends, Sander",Netherlands,NLD
sr:competitor:16151,"Venus, Michael",New Zealand,NZL
sr:competitor:52244,"Balaji, N. Sriram",India,IND
sr:competitor:204495,"Vocel, Matej",Czechia,CZE
sr:competitor:16992,"Willis, Marcus",Great Britain,GBR
sr:competitor:81059,"Gille, Sander",Belgium,BEL
sr:competitor:1020797,"Trhac, Patrik",USA,USA
sr:competitor:15548,"Gonzalez, Maximo",Argentina,ARG
sr:competitor:38181,"Molteni, Andres",Argentina,ARG
sr:competitor:287215,"Seggerman, Ryan",USA,USA
sr:competitor:16573,"Demoliner, Marcelo",Brazil,BRA
sr:competitor:243522,"Paul, Jakub",Switzerland,CHE
sr:competitor:230186,"Verbeek, Sem",Netherlands,NLD
sr:competitor:17038,"Smith, John-Patrick",Australia,AUS
sr:competitor:15588,"Rojer, Jean-Julien",Netherlands,NLD
sr:competitor:15305,"Gonzalez, Santiago",Mexico,MEX
sr:competitor:1015089,"Winegar, Theodore",USA,USA
sr:competitor:422955,"Sanchez, Luca",France,FRA
sr:competitor:56629,"Peers, John",Australia,AUS
sr:competitor:39726,"Kubler, Jason",Australia,AUS
sr:competitor:297448,"Kiger, Mac",USA,USA
sr:competitor:180104,"Reymond, Arthur",France,FRA
sr:competitor:41475,"Arneodo, Romain",Monaco,MCO
sr:competitor:108755,"Jebens, Hendrik",Germany,DEU
sr:competitor:256001,"Ho, Ray",Chinese Taipei,TPE
sr:competitor:263865,"Reynolds, Finn",New Zealand,NZL
sr:competitor:973963,"Watt, James",New Zealand,NZL
sr:competitor:49306,"Reyes-Varela, Miguel Angel",Mexico,MEX
sr:competitor:296270,"Stevenson, David",Great Britain,GBR
sr:competitor:614090,"Pieczonka, Filip",Poland,POL
sr:competitor:52263,"Hidalgo, Diego",Ecuador,ECU
sr:competitor:145936,"Kaliyanda Poonacha, Niki",India,IND
